window,before_model,after_model,before_status,after_status,before_frames_processed,after_frames_processed,delta_frames_processed,before_detections_total,after_detections_total,delta_detections_total,before_detections_avg_per_frame,after_detections_avg_per_frame,delta_detections_avg_per_frame,before_valid_track_ids,after_valid_track_ids,delta_valid_track_ids,before_crops_saved,after_crops_saved,delta_crops_saved,before_frames_with_detection_pct,after_frames_with_detection_pct,delta_frames_with_detection_pct,window_report_dir
100,yolov8n.pt,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\detector_aerial\yolov8n_aerial_baseline\weights\best.pt,ok,ok,80,80,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\reports\before_after\window_100
200,yolov8n.pt,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\detector_aerial\yolov8n_aerial_baseline\weights\best.pt,ok,ok,80,80,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\reports\before_after\window_200
400,yolov8n.pt,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\detector_aerial\yolov8n_aerial_baseline\weights\best.pt,ok,ok,80,80,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\reports\before_after\window_400
