experiment,dataset,tile_size,overlap,base_model,epochs,imgsz,batch,patience,close_mosaic,device,save_dir,best_pt,results_csv
smallobj_yolov8n_img1024_e24,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\configs\yolo_aerial_tiled_smallobj.yaml,512,0.4,yolov8n.pt,24,1024,10,14,4,0,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\detector_tiled_smallobj\smallobj_yolov8n_img1024_e24,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\detector_tiled_smallobj\smallobj_yolov8n_img1024_e24\weights\best.pt,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\detector_tiled_smallobj\smallobj_yolov8n_img1024_e24\results.csv
smallobj_yolov8s_img1280_e30,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\configs\yolo_aerial_tiled_smallobj.yaml,512,0.4,yolov8s.pt,30,1280,6,18,4,0,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\detector_tiled_smallobj\smallobj_yolov8s_img1280_e30,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\detector_tiled_smallobj\smallobj_yolov8s_img1280_e30\weights\best.pt,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\detector_tiled_smallobj\smallobj_yolov8s_img1280_e30\results.csv
