model,dataset_used,tile_size,overlap,train_imgsz,epochs,batch,device,model_path,eval_status,frames_processed,detections_total,detections_avg_per_frame,frames_with_detection_pct,valid_track_ids,crops_saved,output_dir,delta_vs_baseline_frames_processed,delta_vs_baseline_detections_total,delta_vs_baseline_detections_avg_per_frame,delta_vs_baseline_valid_track_ids,delta_vs_baseline_crops_saved,delta_vs_baseline_frames_with_detection_pct
baseline_prev_ft,reports/overnight/final_comparative.csv,n/a,n/a,n/a,n/a,n/a,n/a,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\detector_aerial\yolov8n_aerial_baseline\weights\best.pt,ok,80,0,0.0,0.0,0,0,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\interim\tiling_smallobj_model_comparison\baseline_prev_ft,0.0,0.0,0.0,0.0,0.0,0.0
smallobj_yolov8n_img1024_e24,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\configs\yolo_aerial_tiled_smallobj.yaml,512,0.4,1024,24,10,0,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\detector_tiled_smallobj\smallobj_yolov8n_img1024_e24\weights\best.pt,ok,80,0,0.0,0.0,0,0,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\interim\tiling_smallobj_model_comparison\smallobj_yolov8n_img1024_e24,0.0,0.0,0.0,0.0,0.0,0.0
smallobj_yolov8s_img1280_e30,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\configs\yolo_aerial_tiled_smallobj.yaml,512,0.4,1280,30,6,0,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\detector_tiled_smallobj\smallobj_yolov8s_img1280_e30\weights\best.pt,ok,80,0,0.0,0.0,0,0,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\interim\tiling_smallobj_model_comparison\smallobj_yolov8s_img1280_e30,0.0,0.0,0.0,0.0,0.0,0.0
