mode,setting,threshold,gallery_vectors,top1_accuracy,top5_accuracy,top1_accuracy_thresholded,top5_accuracy_thresholded,unknown_rejection_rate,false_rejects,false_accepts,accepted_queries,query_count
prototype,no_threshold,,46,0.782258064516129,0.9798387096774194,0.782258064516129,0.9798387096774194,0.0,0,108,496,496
prototype,with_threshold,0.9927988052368164,46,0.782258064516129,0.9798387096774194,0.3790322580645161,0.41935483870967744,0.5725806451612904,284,24,212,496
all_vectors,no_threshold,,4240,0.842741935483871,0.9475806451612904,0.842741935483871,0.9475806451612904,0.0,0,78,496,496
all_vectors,with_threshold,0.9995235204696655,4240,0.842741935483871,0.9475806451612904,0.4657258064516129,0.4959677419354839,0.4939516129032258,245,20,251,496
