model_name,frames_processed,detections_total,detections_avg_per_frame,valid_track_ids,crops_saved,frames_with_detection_pct,status,model_path,output_dir,delta_vs_baseline_frames_processed,delta_vs_baseline_detections_total,delta_vs_baseline_detections_avg_per_frame,delta_vs_baseline_valid_track_ids,delta_vs_baseline_crops_saved,delta_vs_baseline_frames_with_detection_pct
base_yolov8n,80,0,0.0,0,0,0.0,ok,yolov8n.pt,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\interim\overnight_model_comparison\base_yolov8n,0,0,0.0,0,0,0.0
baseline_prev_ft,80,0,0.0,0,0,0.0,ok,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\detector_aerial\yolov8n_aerial_baseline\weights\best.pt,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\interim\overnight_model_comparison\baseline_prev_ft,0,0,0.0,0,0,0.0
overnight_exp_img640_e10,80,0,0.0,0,0,0.0,ok,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\overnight_detector\overnight_exp_img640_e10\weights\best.pt,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\interim\overnight_model_comparison\overnight_exp_img640_e10,0,0,0.0,0,0,0.0
overnight_exp_img800_e12,80,0,0.0,0,0,0.0,ok,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\overnight_detector\overnight_exp_img800_e12\weights\best.pt,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\interim\overnight_model_comparison\overnight_exp_img800_e12,0,0,0.0,0,0,0.0
