experiment,base_model,epochs,imgsz,batch,device,save_dir,best_pt,results_csv
overnight_exp_img640_e10,yolov8n.pt,10,640,8,0,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\overnight_detector\overnight_exp_img640_e10,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\overnight_detector\overnight_exp_img640_e10\weights\best.pt,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\overnight_detector\overnight_exp_img640_e10\results.csv
overnight_exp_img800_e12,yolov8n.pt,12,800,6,0,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\overnight_detector\overnight_exp_img800_e12,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\overnight_detector\overnight_exp_img800_e12\weights\best.pt,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\runs\detect\outputs\overnight_detector\overnight_exp_img800_e12\results.csv
